"Protein","tstat_source","tstat_target","pval_source","pval_target","flag_source","flag_target","source_target_agreement"
"CHM4B_HUMAN",-1.6294470931184,0.328049555153986,0.104109644876734,0.743499237360299,0,0,1
"PA2G4_HUMAN",-0.57946682973505,-0.381653459132621,0.562643513153885,0.703530151301586,0,0,1
"RBP56_HUMAN",-0.902841051004539,1.00471694208771,0.367221061077872,0.317595819236961,0,0,1
"RRBP1_HUMAN",-0.11448678252187,0.632830076946382,0.908916493027875,0.528349746579514,0,0,1
"RM12_HUMAN",1.52192056067647,1.34879851836257,0.128930076196253,0.18021333541844,0,0,1
"HYOU1_HUMAN",1.52162047674702,-0.502796505916369,0.128996056465189,0.616278577143581,0,0,1
"OST48_HUMAN",1.19137533604607,-0.976694870315944,0.234302399293814,0.330946365300992,0,0,1
"DLDH_HUMAN",1.72161228308046,0.794333837504392,0.0860084637184957,0.428804498901635,0,0,1
"H2AY_HUMAN",-0.0606647250779795,0.539256222280339,0.951660267161551,0.590861045037002,0,0,1
"ANXA4_HUMAN",0.915547278007989,2.67949485268453,0.360524628292433,0.00864269802817394,0,1,0
"MYOF_HUMAN",1.76022426548437,-2.24977822001283,0.0792397159726498,0.0264556450622414,0,-1,0
"ADHX_HUMAN",-0.868748606188392,3.0601316139906,0.385572832197771,0.00274556474312367,0,1,0
"ODO2_HUMAN",1.08725833682579,-0.623274708776021,0.277659330566739,0.534523576285329,0,0,1
"THOC4_HUMAN",-2.39398149811292,0.470047235068068,0.0171836757830185,0.639227531620247,-1,0,0
"CTNB1_HUMAN",-0.32968244465426,-0.450017333176234,0.741834168493004,0.653620551156256,0,0,1
"THIL_HUMAN",0.110044388921617,3.34482668226931,0.912436243021473,0.00117036395147763,0,1,0
"QCR2_HUMAN",1.44803255328575,-1.64391938806969,0.14849149959472,0.103218916506307,0,0,1
"SYRC_HUMAN",0.752262092571586,0.471191735108182,0.452391441777616,0.638527756874008,0,0,1
"GBB1_HUMAN",-0.4750159154432,-0.188645209013064,0.635066998816058,0.850759812919503,0,0,1
"TNPO1_HUMAN",1.10518419115976,-0.652534844212244,0.269826378923479,0.515487288471938,0,0,1
"NLTP_HUMAN",1.21689857641609,1.8575929151286,0.224460721681223,0.066129209819086,0,0,1
"ACSL3_HUMAN",2.36967321450031,-1.58326497498457,0.0183365108543991,0.116532917260541,1,0,0
"SPB6_HUMAN",-2.47426832472211,3.13911812738733,0.0138163954459051,0.00221268724741198,-1,1,0
"HNRPR_HUMAN",0.560436294543185,-0.580602903519451,0.575534824225334,0.562686233877685,0,0,1
"ATPG_HUMAN",1.44956736022403,0.139940502831111,0.148059758614712,0.888975695768137,0,0,1
"NPM_HUMAN",0.937184025478266,0.316688063808396,0.349300731789247,0.75214865748841,0,0,1
"SYTC_HUMAN",-0.923515717088289,1.19318998338605,0.356376272325194,0.235310550788444,0,0,1
